edition,year,venue,round,team 1,team 2,score,score_halftime
1960-FRANCE,1959,Porto,FIRST,Portugal,GDR (DDR / Ostdeutschland),3-2,1-0
1960-FRANCE,1960,Marseille,FS_PLACES_3&4,Czechoslovakia (Československo),France,2-0,0-0
1960-FRANCE,1960,Marseille,FS_1/2_FINAL,Soviet Union (СССР),Czechoslovakia (Československo),3-0,1-0
1960-FRANCE,1960,Paris,FS_1/2_FINAL,France,Yugoslavia (Југославија),4-5,2-1
1960-FRANCE,1960,Bratislava,1/4_FINAL,Czechoslovakia (Československo),Romania (România),3-0,3-0
1960-FRANCE,1960,Beograd,1/4_FINAL,Yugoslavia (Југославија),Portugal,5-1,2-1
1960-FRANCE,1960,Wien,1/4_FINAL,Austria (Österreich),France,2-4,1-0
1960-FRANCE,1960,Moskva,1/4_FINAL,Soviet Union (СССР),Spain (España),3-0,w.o.
1960-FRANCE,1959,Dublin,PRELIMINARY,Ireland (Éire),Czechoslovakia (Československo),2-0,2-0
1960-FRANCE,1959,Bratislava,PRELIMINARY,Czechoslovakia (Československo),Ireland (Éire),4-0,1-0
1960-FRANCE,1958,Moskva,FIRST,Soviet Union (СССР),Hungary (Magyarország),3-1,3-0
1960-FRANCE,1958,Paris,FIRST,France,Greece (Ελλάδα),7-1,3-0
1960-FRANCE,1958,Bucureşti,FIRST,Romania (România),Turkey (Türkiye),3-0,0-0
1960-FRANCE,1958,Athína,FIRST,Greece (Ελλάδα),France,1-1,0-0
1960-FRANCE,1959,Oslo,FIRST,Norway (Norge),Austria (Österreich),0-1,0-1
1960-FRANCE,1959,Beograd,FIRST,Yugoslavia (Југославија),Bulgaria (България),2-0,1-0
1960-FRANCE,1959,Ost-Berlin,FIRST,GDR (DDR / Ostdeutschland),Portugal,0-2,0-1
1960-FRANCE,1959,Chorzów,FIRST,Poland (Polska),Spain (España),2-4,1-2
1960-FRANCE,1959,København,FIRST,Denmark (Danmark),Czechoslovakia (Československo),2-2,2-2
1960-FRANCE,1959,Budapest,FIRST,Hungary (Magyarország),Soviet Union (СССР),0-1,0-0
1960-FRANCE,1959,İstanbul,FIRST,Turkey (Türkiye),Romania (România),2-0,1-0
1960-FRANCE,1959,Wien,FIRST,Austria (Österreich),Norway (Norge),5-2,3-2
1960-FRANCE,1959,Sofija,FIRST,Bulgaria (България),Yugoslavia (Југославија),1-1,0-1
1960-FRANCE,1960,Bucureşti,1/4_FINAL,Romania (România),Czechoslovakia (Československo),0-2,0-2
1960-FRANCE,1959,Madrid,FIRST,Spain (España),Poland (Polska),3-0,1-0
1960-FRANCE,1959,Brno,FIRST,Czechoslovakia (Československo),Denmark (Danmark),5-1,1-1
1960-FRANCE,1960,Paris,FS_FINAL,Soviet Union (СССР),Yugoslavia (Југославија),2-1,0-1
1960-FRANCE,1959,Paris,1/4_FINAL,France,Austria (Österreich),5-2,3-1
1960-FRANCE,1960,Lisboa,1/4_FINAL,Portugal,Yugoslavia (Југославија),2-1,1-0
1964-SPAIN,1962,Sofija,FIRST,Bulgaria (България),Portugal,3-1,0-0
1964-SPAIN,1964,Moskva,1/4_FINAL,Soviet Union (СССР),Sweden (Sverige),3-1,1-0
1964-SPAIN,1964,Budapest,1/4_FINAL,Hungary (Magyarország),France,2-1,1-1
1964-SPAIN,1964,Dublin,1/4_FINAL,Ireland (Éire),Spain (España),0-2,0-1
1964-SPAIN,1964,Stockholm,1/4_FINAL,Sweden (Sverige),Soviet Union (СССР),1-1,0-0
1964-SPAIN,1964,Paris,1/4_FINAL,France,Hungary (Magyarország),1-3,0-2
1964-SPAIN,1964,Sevilla,1/4_FINAL,Spain (España),Ireland (Éire),5-1,4-1
1964-SPAIN,1963,Amsterdam,1/4_FINAL,Denmark (Danmark),Luxembourg (Lëtzebuerg),1-0,1-0
1964-SPAIN,1963,København,1/4_FINAL,Denmark (Danmark),Luxembourg (Lëtzebuerg),2-2,1-1
1964-SPAIN,1963,Luxembourg,1/4_FINAL,Luxembourg (Lëtzebuerg),Denmark (Danmark),3-3,2-2
1964-SPAIN,1963,Budapest,SECOND,Hungary (Magyarország),GDR (DDR / Ostdeutschland),3-3,2-2
1964-SPAIN,1963,Paris,SECOND,France,Bulgaria (България),3-1,1-0
1964-SPAIN,1963,Roma,SECOND,Italy (Italia),Soviet Union (СССР),1-1,0-1
1964-SPAIN,1963,Dublin,SECOND,Ireland (Éire),Austria (Österreich),3-2,1-1
1964-SPAIN,1963,Rotterdam,SECOND,Luxembourg (Lëtzebuerg),Netherlands (Nederland),2-1,1-1
1964-SPAIN,1963,Tiranë,SECOND,Albania (Shqipëri),Denmark (Danmark),1-0,1-0
1964-SPAIN,1963,Malmö,SECOND,Sweden (Sverige),Yugoslavia (Југославија),3-2,1-1
